Question#,Question Text,Answer,Score,Interpretation,Resource Title,Resource Link,Resource Description
10,"How well do you understand how AI tools like generative models work?",,,"Little or no understanding of AI concepts","Introduction to Generative AI","https://www.monash.edu/student-academic-success/build-digital-capabilities/master-online-learning-systems/microsoft-copilot/researching-with-copilot","Discusses how generative AI like Copilot can be used to assist with research and emphasizes understanding its features and limitations"
11,"Which statement about AI tools and data access is true?",,,"Correct: AI (e.g., Copilot) only uses data you already have access to","Copilot Data Access and Permissions","https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-privacy","Explains that Copilot only surfaces organizational data for which the user has at least view permissions"
12,"Which of the following is a good practice when using AI with sensitive data?",,,"High maturity: uses authorized platforms and respects data sensitivity","Best Practices for Securing AI Tools","https://www.softwareone.com/en/blog/articles/2025/07/01/manage-secure-microsoft-365-copilot","Advises reviewing security policies and using tools like Microsoft Purview to manage data access and retention"
13,"A colleague wants to paste a confidential client report into a free public AI chatbot to get a summary. What do you do?",,,"High maturity: ensures data security and compliance","Best Practices for Securing AI Tools","https://www.softwareone.com/en/blog/articles/2025/07/01/manage-secure-microsoft-365-copilot","Highlights the importance of using approved tools and protecting sensitive data to avoid oversharing or compliance risks"
14,"When using AI tools at work, how often do you ensure you’re following security and privacy guidelines (e.g., checking you’re not sharing restricted data)?",,,"No attention to data protection or policies","Data and Privacy with AI Tools","https://www.turnertimemanagement.com/steves-blog/mastering-microsoft-copilot-a-beginners-guide-to-ai-powered-productivity/","Emphasizes staying secure while using AI and respecting privacy and compliance requirements"
15,"What happens to the data and prompts you enter into enterprise AI tools (e.g., Copilot or other business AI services)?",,,"Correct: data is stored within enterprise services and not used to train the foundation model","Data Storage and AI Training","https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-privacy","Explains that prompts and responses in Copilot are stored within Microsoft 365’s service boundary and not used to train the underlying models"
16,"When AI tools provide citations or links with their answers, how often do you review those sources?",,,"No verification: may trust AI outputs without checking references","Researching with Copilot – Evaluating Outputs","https://www.monash.edu/student-academic-success/build-digital-capabilities/master-online-learning-systems/microsoft-copilot/researching-with-copilot","Discusses the importance of evaluating AI outputs and cross-checking sources for accuracy and reliability"
17,"In the context of AI, what is an ""hallucination""?",,,"Correct: a hallucination is when the AI’s response is plausible but factually wrong","Understanding AI Hallucinations","https://shelf.io/blog/how-to-prevent-microsoft-copilot-hallucinations/","Defines what an AI hallucination is and explains why these incorrect yet confident statements can occur"
18,"An AI assistant provides a detailed answer with two citations. How do you ensure it is trustworthy?",,,"High maturity: verifies source documents to ensure accuracy","Researching with Copilot – Evaluating Outputs","https://www.monash.edu/student-academic-success/build-digital-capabilities/master-online-learning-systems/microsoft-copilot/researching-with-copilot","Highlights the importance of checking and evaluating external sources recommended by AI for accuracy and relevance"
19,"If an AI gives a confident-sounding answer without citations and you’re unsure it’s correct, what should you do?",,,"High maturity: verify external sources or ask the AI to provide references","How to Handle AI Responses","https://shelf.io/blog/how-to-prevent-microsoft-copilot-hallucinations/","Suggests testing prompts and verifying information with external or multiple queries to ensure accuracy"
20,"When you get content or analysis from an AI tool, how do you usually handle it?",,,"No verification: high risk of errors if AI output is contextually inaccurate","Best Practices when Using AI Outputs","https://info.mobile-mentor.com/hubfs/Whitepapers/365%20Copilot%20Prompt%20Guide.pdf","Advises reviewing AI-generated content carefully and expecting variability in outputs, emphasizing the need for verification"
21,"When using AI for a complex project, what is your typical approach?",,,"No adoption: does not leverage AI for complex tasks","Prompt Engineering & AI Guidance","https://info.mobile-mentor.com/hubfs/Whitepapers/365%20Copilot%20Prompt%20Guide.pdf","Highlights that an iterative process and prompt refinement can improve AI output for complex tasks"
22,"If the AI’s first answer or draft isn’t what you need, what do you do next?",,,"Low maturity: does not attempt to refine AI output","Prompt Engineering & AI Guidance","https://info.mobile-mentor.com/hubfs/Whitepapers/365%20Copilot%20Prompt%20Guide.pdf","Highlights that an iterative process and prompt refinement can improve AI output for complex tasks"
23,"What approach helps yield the best results from AI for complex tasks?",,,"High maturity: guides the AI effectively and fosters better results","Effective Prompting Strategies","https://info.mobile-mentor.com/hubfs/Whitepapers/365%20Copilot%20Prompt%20Guide.pdf","Discusses four components of an effective prompt and the value of adding context, tone, and data sources"
24,"When a new AI tool or feature becomes available at work, how do you react?",,,"No growth: resists trying new AI tools or features","Building AI Competencies","https://buckleyplanet.com/2025/09/an-ai-readiness-self-assessment-guide/","Discusses the importance of a growth mindset and the need for employees to embrace new AI tools and continuously learn"
25,"How confident are you in using AI to assist with complex, multi-step projects or sophisticated deliverables?",,,"Low maturity: avoids AI and does not know how to apply it","Adapting to AI-Driven Work","https://buckleyplanet.com/2025/09/an-ai-readiness-self-assessment-guide/","Highlights the need to learn and adapt as roles and processes evolve in the AI era"
